county,totalOut,totalIn,nonmigrants,totalOutToMetro,totalInFromMetro,prePop,postPop,totalOutToOutside,totalInFromOutside,preYear,postYear
cobb county,49401,56521,479708,21419,18787,529109,536229,27982,37734,2005,2006
dekalb county,58087,54274,431130,37411,26694,489217,485404,20676,27580,2005,2006
douglas county,8787,13225,79223,3543,5746,88010,92448,5244,7479,2005,2006
fayette county,7335,8807,79776,2447,3278,87111,88583,4888,5529,2005,2006
forsyth county,8031,14159,101121,2578,6646,109152,115280,5453,7513,2005,2006
fulton county,64777,75599,503036,40030,35872,567813,578635,24747,39727,2005,2006
gwinnett county,47529,59081,528616,18049,22011,576145,587697,29480,37070,2005,2006
henry county,12578,19350,128830,5328,9423,141408,148180,7250,9927,2005,2006
rockdale county,7047,7820,53126,2317,3427,60173,60946,4730,4393,2005,2006
cherokee county,11080,17007,142506,4616,8213,153586,159513,6464,8794,2006,2007
clayton county,25088,24668,179318,16192,14223,204406,203986,8896,10445,2006,2007
cobb county,48735,63474,484944,20944,18363,533679,548418,27791,45111,2006,2007
dekalb county,58466,52752,437223,36757,27465,495689,489975,21709,25287,2006,2007
douglas county,10104,13650,83347,4136,5735,93451,96997,5968,7915,2006,2007
fayette county,7111,8064,80258,2205,2977,87369,88322,4906,5087,2006,2007
forsyth county,7708,14415,107225,2542,6703,114933,121640,5166,7712,2006,2007
fulton county,66425,73953,525571,39713,36624,591996,599524,26712,37329,2006,2007
gwinnett county,48837,57712,549880,18364,21078,598717,607592,30473,36634,2006,2007
henry county,13003,18855,135823,5205,8203,148826,154678,7798,10652,2006,2007
rockdale county,7174,8308,54771,2475,3565,61945,63079,4699,4743,2006,2007
cherokee county,11873,15420,152795,4768,7572,164668,168215,7105,7848,2007,2008
clayton county,26020,25721,187882,16618,15686,213902,213603,9402,10035,2007,2008
cobb county,48621,60145,506060,20801,18709,554681,566205,27820,41436,2007,2008
dekalb county,58125,53848,454578,35798,29653,512703,508426,22327,24195,2007,2008
douglas county,10793,12850,90142,4429,5591,100935,102992,6364,7259,2007,2008
fayette county,7227,7771,83551,2427,2890,90778,91322,4800,4881,2007,2008
forsyth county,7622,14079,116200,2388,6563,123822,130279,5234,7516,2007,2008
fulton county,70662,76912,557225,42728,38140,627887,634137,27934,38772,2007,2008
gwinnett county,50097,53786,585576,19040,21208,635673,639362,31057,32578,2007,2008
henry county,14563,17923,145189,5911,8054,159752,163112,8652,9869,2007,2008
rockdale county,7252,7914,58340,2608,3450,65592,66254,4644,4464,2007,2008
cherokee county,10523,12842,161434,4280,6240,171957,174276,6243,6602,2008,2009
clayton county,28149,24657,193356,18576,15721,221505,218013,9573,8936,2008,2009
cobb county,46655,46402,519158,20471,18745,565813,565560,26184,27657,2008,2009
dekalb county,57230,52635,468200,35705,30531,525430,520835,21525,22104,2008,2009
douglas county,10972,11430,95570,4788,5331,106542,107000,6184,6099,2008,2009
fayette county,6238,6472,84490,2102,2566,90728,90962,4136,3906,2008,2009
forsyth county,7878,11471,131270,2676,5251,139148,142741,5202,6220,2008,2009
fulton county,69015,100925,584796,41513,39041,653811,685721,27502,61884,2008,2009
gwinnett county,46642,49505,611111,17657,21704,657753,660616,28985,27801,2008,2009
henry county,14008,16637,151127,5982,8066,165135,167764,8026,8571,2008,2009
rockdale county,7187,7074,60444,2698,3252,67631,67518,4489,3822,2008,2009
cherokee county,10615,11776,163171,4613,5730,173786,174947,6002,6046,2009,2010
clayton county,26912,24912,192431,18235,16263,219343,217343,8677,8649,2009,2010
cobb county,44609,42776,519745,20336,18963,564354,562521,24273,23813,2009,2010
dekalb county,57456,51607,471532,36793,31321,528988,523139,20663,20286,2009,2010
douglas county,10342,10499,95837,4741,4707,106179,106336,5601,5792,2009,2010
fayette county,5848,7435,83161,1955,3362,89009,90596,3893,4073,2009,2010
forsyth county,8009,10727,135137,3065,5315,143146,145864,4944,5412,2009,2010
fulton county,70128,77358,597199,42717,41803,667327,674557,27411,35555,2009,2010
gwinnett county,46185,46606,617448,19288,21470,663633,664054,26897,25136,2009,2010
henry county,12848,16033,153283,5760,8199,166131,169316,7088,7834,2009,2010
rockdale county,6871,6990,61176,2774,3144,68047,68166,4097,3846,2009,2010
cherokee county,10973,12001,165038,4743,5817,176011,177039,6230,6184,2010,2011
clayton county,27637,26739,193021,18168,16668,220658,219760,9469,10071,2010,2011
cobb county,46008,45236,542458,20447,19240,588466,587694,25561,25996,2010,2011
dekalb county,59226,55247,479246,36790,32008,538472,534493,22436,23239,2010,2011
douglas county,10637,10626,95545,4590,5099,106182,106171,6047,5527,2010,2011
fayette county,6597,6954,84411,2319,2674,91008,91365,4278,4280,2010,2011
forsyth county,7792,10836,138473,2769,5088,146265,149309,5023,5748,2010,2011
