From,To,Est,SD,Year
douglas county,clayton county,228,105.176531920736,2011
douglas county,cobb county,2272,485.757508697504,2011
douglas county,fulton county,826,181.779092741619,2011
douglas county,dekalb county,437,201.233711362796,2011
douglas county,gwinnett county,265,158.06877629706,2011
douglas county,henry county,385,171.443826599119,2011
douglas county,forsyth county,50,44.3808487295592,2011
douglas county,fayette county,32,24.9262301083826,2011
douglas county,cherokee county,30,20.6705322850002,2011
douglas county,rockdale county,169,124.631150541913,2011
douglas county,outside,7627,846.033697152886,2011
forsyth county,clayton county,1,1.82387049573531,2011
forsyth county,cobb county,333,88.1537406272066,2011
forsyth county,fulton county,970,209.137150177649,2011
forsyth county,dekalb county,241,79.6423449804418,2011
forsyth county,gwinnett county,855,178.131351750148,2011
forsyth county,henry county,0,59.5797695273534,2011
forsyth county,douglas county,0,59.5797695273534,2011
forsyth county,fayette county,30,20.0625754530884,2011
forsyth county,cherokee county,452,319.177336753679,2011
forsyth county,rockdale county,0,59.5797695273534,2011
forsyth county,outside,5313,781.442842532236,2011
fayette county,clayton county,458,159.284689960884,2011
fayette county,cobb county,474,184.818876901178,2011
fayette county,fulton county,1011,245.614560092355,2011
fayette county,dekalb county,371,136.790287180148,2011
fayette county,gwinnett county,84,63.8354673507358,2011
fayette county,henry county,132,70.5229925017652,2011
fayette county,douglas county,55,51.6763307125004,2011
fayette county,forsyth county,87,66.8752515102946,2011
fayette county,cherokee county,33,20.0625754530884,2011
fayette county,rockdale county,0,59.5797695273534,2011
fayette county,outside,6997,795.801559538875,2011
cherokee county,clayton county,157,82.0741723080889,2011
cherokee county,cobb county,3602,467.518803740151,2011
cherokee county,fulton county,741,165.364258280001,2011
cherokee county,dekalb county,381,150.165337482207,2011
cherokee county,gwinnett county,335,167.188128775737,2011
cherokee county,henry county,0,59.5797695273534,2011
cherokee county,douglas county,66,55.324071703971,2011
cherokee county,forsyth county,278,131.926632524854,2011
cherokee county,fayette county,0,59.5797695273534,2011
cherokee county,rockdale county,0,0,2011
cherokee county,outside,6973,838.920731602316,2011
rockdale county,clayton county,132,68.6991220060299,2011
rockdale county,cobb county,305,97.2730931058831,2011
rockdale county,fulton county,187,66.8752515102946,2011
rockdale county,dekalb county,1125,305.194329619708,2011
rockdale county,gwinnett county,712,204.881452354266,2011
rockdale county,henry county,112,50.4604170486769,2011
rockdale county,douglas county,57,37.0853667466179,2011
rockdale county,forsyth county,3,3.03978415955885,2011
rockdale county,fayette county,75,71.7389061655888,2011
rockdale county,cherokee county,0,0,2011
rockdale county,outside,6776,934.107421478894,2011
outside,clayton county,12672,1090.44104078429,2011
outside,cobb county,38724,1775.39852712739,2011
outside,fulton county,52887,1940.96309962617,2011
outside,dekalb county,33256,1628.85250754526,2011
outside,gwinnett county,37308,1872.47368332078,2011
outside,henry county,9915,1129.89345584404,2011
outside,douglas county,8234,1009.31546021232,2011
outside,forsyth county,7182,857.75276162258,2011
outside,fayette county,4900,795.164076265097,2011
outside,cherokee county,8016,915.849788941246,2011
outside,rockdale county,6021,790.172699715904,2011
clayton county,cobb county,1496,295.46702030912,2012
clayton county,fulton county,5152,671.184342430593,2012
clayton county,dekalb county,2478,562.360069518387,2012
clayton county,gwinnett county,630,231.631552958384,2012
clayton county,henry county,3973,605.525004584122,2012
clayton county,douglas county,514,183.602963237354,2012
clayton county,forsyth county,53,28.5739710998532,2012
